iter	Passed	Remaining
0	114	114526
1	115	57608
2	116	38581
3	116	29049
4	117	23323
5	117	19515
6	118	16788
7	118	14740
8	119	13153
9	119	11877
10	120	10834
11	121	9969
12	121	9234
13	122	8607
14	122	8062
15	123	7583
16	123	7166
17	124	6790
18	124	6453
19	125	6156
20	126	5891
21	127	5648
22	127	5425
23	128	5218
24	128	5027
25	129	4851
26	130	4690
27	130	4540
28	131	4400
29	131	4267
30	132	4143
31	133	4029
32	133	3920
33	134	3818
34	135	3722
35	135	3631
36	136	3544
37	136	3464
38	137	3388
39	138	3314
40	138	3243
41	139	3177
42	140	3119
43	140	3063
44	141	3007
45	142	2958
46	143	2911
47	144	2863
48	145	2814
49	145	2767
50	146	2722
51	147	2682
52	147	2640
53	148	2599
54	149	2561
55	149	2525
56	150	2490
57	151	2454
58	151	2421
59	152	2388
60	153	2356
61	153	2325
62	154	2296
63	155	2268
64	155	2242
65	156	2216
66	157	2189
67	157	2163
68	158	2141
69	159	2119
70	160	2095
71	161	2076
72	161	2055
73	162	2033
74	163	2010
75	163	1989
76	164	1968
77	164	1948
78	165	1928
79	166	1909
80	166	1890
81	167	1872
82	167	1852
83	168	1834
84	168	1817
85	169	1800
86	170	1784
87	170	1769
88	171	1754
89	172	1740
90	172	1725
91	173	1710
92	174	1697
93	174	1682
94	175	1669
95	175	1655
96	176	1642
97	177	1630
98	177	1616
99	178	1604
100	178	1591
101	179	1579
102	180	1567
103	180	1555
104	181	1544
105	181	1532
106	182	1521
107	182	1510
108	183	1499
109	184	1489
110	184	1479
111	185	1469
112	186	1460
113	186	1450
114	187	1441
115	187	1432
116	188	1422
117	189	1413
118	189	1405
119	190	1396
120	190	1387
121	191	1378
122	192	1370
123	192	1362
124	193	1353
125	194	1345
126	194	1337
127	195	1329
128	195	1322
129	196	1314
130	196	1306
131	197	1298
132	198	1291
133	198	1283
134	199	1276
135	199	1269
136	200	1263
137	201	1257
138	201	1251
139	202	1244
140	204	1243
141	204	1236
142	205	1230
143	205	1224
144	206	1218
145	207	1211
146	207	1205
147	208	1199
148	208	1193
149	209	1187
150	210	1181
151	210	1175
152	211	1170
153	212	1164
154	212	1159
155	213	1153
156	213	1147
157	214	1142
158	214	1137
159	215	1132
160	216	1126
161	216	1121
162	217	1116
163	217	1110
164	218	1105
165	219	1100
166	219	1095
167	220	1090
168	220	1085
169	221	1081
170	222	1076
171	222	1072
172	223	1067
173	223	1063
174	224	1058
175	225	1054
176	225	1049
177	226	1045
178	227	1041
179	227	1036
180	228	1032
181	228	1028
182	229	1024
183	230	1020
184	230	1016
185	231	1012
186	231	1008
187	232	1004
188	233	1000
189	233	996
190	234	992
191	235	989
192	235	985
193	236	981
194	236	977
195	237	973
196	237	970
197	238	966
198	239	962
199	239	958
200	240	954
201	240	950
202	241	946
203	241	943
204	242	939
205	242	935
206	243	931
207	243	928
208	244	924
209	244	921
210	245	918
211	246	914
212	246	911
213	247	907
214	247	904
215	248	901
216	248	897
217	249	894
218	249	891
219	250	887
220	250	884
221	251	881
222	251	877
223	252	874
224	252	871
225	253	867
226	253	864
227	254	861
228	254	858
229	255	855
230	255	852
231	256	849
232	256	846
233	257	842
234	257	839
235	258	836
236	259	834
237	259	832
238	260	829
239	261	826
240	261	824
241	262	821
242	262	819
243	263	816
244	263	813
245	264	810
246	265	808
247	265	805
248	266	802
249	266	799
250	267	797
251	267	794
252	268	791
253	268	789
